Sr No,Graduate Certificate,Course Name,Course Code,Start Date,End Date,Duration (Days),Room,Teacher,Run
1,Architecting AI Systems,AI and Cybersecurity,AAS-02,18-Oct-27,22-Oct-27,3,Horizon,AK,Run 2
2,Intelligent Sensing Systems,Spatial Reasoning from Sensor Data,ISS-02,25-Oct-27,29-Oct-27,3,Nexus,SP,Run 2
3,Intelligent Financial Risk Management,Credit Risk Modelling and Analytics,IFR-03,1-Nov-27,4-Nov-27,4,Board Room,CK,Run 2
4,Practical Language Processing,New Media and Sentiment Mining,PLP-02,29-Nov-27,2-Dec-27,3,Integrity,AC,Run 1
5,Intelligent Financial Risk Management,Explainable & Responsible AI for Finance,IFR-02,13-Dec-27,15-Dec-27,3,Innovation,DC,Run 2
6,Intelligent Reasoning Systems,Cognitive Systems,IRS-02,20-Dec-27,22-Dec-27,3,Integration,CK,Run 1
7,Architecting AI Systems,Architecting Agentic AI Solutions,AAS-03,8-Mar-27,11-Mar-27,4,Board Room,SW,Run 1
8,Practical Language Processing,Text Analytics,PLP-04,5-Apr-27,7-Apr-27,3,Catalyst,AC,Run 2
9,Pattern Recognition Systems,Pattern Recognition and Machine Learning Systems,PRS-02,12-Apr-27,16-Apr-27,5,Integration,AK,Run 2
10,Intelligent Robotic Systems,Autonomous Robots and Vehicles,IROb-02,6-Mar-28,8-Mar-28,5,Frontier,CK,Run 1
11,Pattern Recognition Systems,Intelligent Sensing and Sense Making,PRS-01,20-Mar-28,23-Mar-28,4,Visionary,SW,Run 2
12,Intelligent Robotic Systems,Robotic Systems,IROb-01,27-Mar-28,30-Mar-28,5,Integrity,SP,Run 1
13,Architecting AI Systems,Deploying and Operating AI Solutions,AAS-04,10-Apr-28,13-Apr-28,3,Integrity,SW,Run 2
14,Intelligent Financial Risk Management,Alternative Data for Fintech Innovation,IFR-04,17-Apr-28,19-Apr-28,3,Visionary,DC,Run 1
15,Architecting AI Systems,Explainable and Responsible Artificial Intelligence,AAS-01,7-Jun-27,9-Jun-27,3,Frontier,AK,Run 2
16,Intelligent Sensing Systems,Real Time Audio-Visual Sensing and Sense Making,ISS-03,5-Jul-27,8-Jul-27,4,Visionary,AK,Run 1
17,Practical Language Processing,New Media and Sentiment Mining,PLP-02,26-Jul-27,28-Jul-27,3,Nexus,AK,Run 2
18,Architecting AI Systems,Architecting Agentic AI Solutions,AAS-03,9-Aug-27,12-Aug-27,4,Board Room,AK,Run 2
19,Intelligent Sensing Systems,Real Time Audio-Visual Sensing and Sense Making,ISS-03,16-Aug-27,19-Aug-27,4,Blue Ocean,CK,Run 2
